,Price
2022-10-20,53.03544896204398
2022-10-21,52.27153298120624
2022-10-22,52.27153298120624
2022-10-23,52.27153298120624
2022-10-24,51.98577201817958
2022-10-25,51.946807517504
2022-10-26,52.810809482864514
2022-10-27,54.12641076034885
2022-10-28,53.36925009212628
2022-10-29,53.36925009212628
2022-10-30,53.36925009212628
2022-10-31,53.048495270851255
2022-11-01,54.230016582729384
2022-11-02,55.56888097285345
2022-11-03,54.88773983540105
2022-11-04,56.368517381157105
2022-11-05,56.368517381157105
2022-11-06,56.368517381157105
2022-11-07,55.595947058100975
2022-11-08,53.64205871514556
2022-11-09,52.12136101216066
2022-11-10,51.526473406215445
2022-11-11,52.28307087581378
2022-11-12,52.28307087581378
2022-11-13,52.28307087581378
2022-11-14,50.634686156491824
2022-11-15,51.176836383736635
2022-11-16,50.215882569708874
2022-11-17,48.23907382385456
2022-11-18,47.651722761331534
2022-11-19,47.651722761331534
2022-11-20,47.651722761331534
2022-11-21,47.983689964377845
2022-11-22,48.10976477091267
2022-11-23,46.11222147156368
2022-11-24,45.9886807517504
2022-11-25,45.13885763419727
2022-11-26,45.13885763419727
2022-11-27,45.13885763419727
2022-11-28,45.926857879867335
2022-11-29,46.53914752487409
2022-11-30,47.59247144085493
2022-12-01,47.342464070752975
2022-12-02,46.637655079228594
2022-12-03,46.637655079228594
2022-12-04,46.637655079228594
2022-12-05,45.11561233263726
2022-12-06,43.67356590099496
2022-12-07,42.248419113131064
2022-12-08,41.63703353396388
2022-12-09,41.518027883552385
2022-12-10,41.518027883552385
2022-12-11,41.518027883552385
2022-12-12,42.70691069893133
2022-12-13,43.57190517135487
2022-12-14,44.44778958358924
2022-12-15,43.996010932317894
2022-12-16,43.197958481758995
2022-12-17,43.197958481758995
2022-12-18,43.197958481758995
2022-12-19,43.63910330426237
2022-12-20,44.07032244196045
2022-12-21,45.30442943127379
2022-12-22,44.872407566638
2022-12-23,46.06617860213733
2022-12-24,46.06617860213733
2022-12-25,46.06617860213733
2022-12-26,46.7410041763911
2022-12-27,45.963461491217295
2022-12-28,45.761685296646604
2022-12-29,45.21873848421569
2022-12-30,46.15424702125046
2022-12-31,46.15424702125046
2023-01-01,46.15424702125046
2023-01-02,46.3387004053556
2023-01-03,44.878516152806775
2023-01-04,42.34161036727674
2023-01-05,43.138916595012894
2023-01-06,42.7087384842157
2023-01-07,42.7087384842157
2023-01-08,42.7087384842157
2023-01-09,42.87584817589976
2023-01-10,43.11023277238669
2023-01-11,44.3456332145928
2023-01-12,44.51294374155509
2023-01-13,45.422891536666256
2023-01-14,45.422891536666256
2023-01-15,45.235779388281536
2023-01-16,44.86473897555583
2023-01-17,45.79849219997543
2023-01-18,45.39905417024935
2023-01-19,45.7113456577816
2023-01-20,46.18010072472669
2023-01-21,46.18010072472669
2023-01-22,46.18010072472669
2023-01-23,46.28375752364574
2023-01-24,45.39756540965483
2023-01-25,45.244412234369236
2023-01-26,45.82670433607665
2023-01-27,45.17577938828153
2023-01-28,45.17577938828153
2023-01-29,45.17577938828153
2023-01-30,44.26134627195676
2023-01-31,44.75861994840928
2023-02-01,42.87492568480531
2023-02-02,42.88297506448839
2023-02-03,41.946927895835884
2023-02-04,41.946927895835884
2023-02-05,41.946927895835884
2023-02-06,42.609170863530274
2023-02-07,44.30365986979486
2023-02-08,45.11070261638619
2023-02-09,44.759364328706546
2023-02-10,45.95326372681489
2023-02-11,45.95326372681489
2023-02-12,45.95326372681489
2023-02-13,46.01139786267043
2023-02-14,45.31893379191745
2023-02-15,45.28779142611473
2023-02-16,45.31346271956762
2023-02-17,43.95912664291856
2023-02-18,43.95912664291856
2023-02-19,44.02803709617983
2023-02-20,44.42779756786635
2023-02-21,44.0376120869672
2023-02-22,42.96841297137943
2023-02-23,43.81289767841788
2023-02-24,44.51904741432256
2023-02-25,44.51904741432256
2023-02-26,44.51904741432256
2023-02-27,43.87872742906277
2023-02-28,44.81021250460631
2023-03-01,44.79455410883184
2023-03-02,45.37382016951234
2023-03-03,46.0745350694018
2023-03-04,46.0745350694018
2023-03-05,46.0745350694018
2023-03-06,46.32620562584449
2023-03-07,45.24199484092863
2023-03-08,44.72170495025181
2023-03-09,44.00788109568849
2023-03-10,44.298693035253656
2023-03-11,44.298693035253656
2023-03-12,44.298693035253656
2023-03-13,42.865524505588986
2023-03-14,40.90850816852966
2023-03-15,39.32847438889571
2023-03-16,39.66770175654096
2023-03-17,38.52524014248864
2023-03-18,38.52524014248864
2023-03-19,38.52524014248864
2023-03-20,38.84592310526962
2023-03-21,39.72157044589117
2023-03-22,40.168479302297015
2023-03-23,39.74988330671908
2023-03-24,39.607438275396134
2023-03-25,39.607438275396134
